Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round
Kentucky,1,68.0,Notre Dame,3,66.0,Kentucky,True,2015,4
Kentucky,1,64.0,Wisconsin,1,71.0,Wisconsin,False,2015,5
Michigan State,7,61.0,Duke,1,81.0,Duke,False,2015,5
Wisconsin,1,63.0,Duke,1,68.0,Duke,False,2015,6
Oregon,1,91.0,Holy Cross,16,52.0,Oregon,True,2016,1
Saint Joseph's,8,78.0,Cincinnati,9,76.0,Saint Joseph's,True,2016,1
Baylor,5,75.0,Yale,12,79.0,Yale,False,2016,1
Duke,4,93.0,UNC Wilmington,13,85.0,Duke,True,2016,1
Texas,6,72.0,Northern Iowa,11,75.0,Northern Iowa,False,2016,1
Texas A&M,3,92.0,Green Bay,14,65.0,Texas A&M,True,2016,1
Oregon State,7,67.0,VCU,10,75.0,VCU,False,2016,1
Oklahoma,2,82.0,Cal State Bakersfield,15,68.0,Oklahoma,True,2016,1
North Carolina,1,83.0,Florida Gulf Coast,16,67.0,North Carolina,True,2016,1
USC,8,69.0,Providence,9,70.0,Providence,False,2016,1
Indiana,5,99.0,Chattanooga,12,74.0,Indiana,True,2016,1
Kentucky,4,85.0,Stony Brook,13,57.0,Kentucky,True,2016,1
Notre Dame,6,70.0,Michigan,11,63.0,Notre Dame,True,2016,1
West Virginia,3,56.0,Stephen F. Austin,14,70.0,Stephen F. Austin,False,2016,1
Wisconsin,7,47.0,Pittsburgh,10,43.0,Wisconsin,True,2016,1
Xavier,2,71.0,Weber State,15,53.0,Xavier,True,2016,1
Kansas,1,105.0,Austin Peay,16,79.0,Kansas,True,2016,1
Colorado,8,67.0,UConn,9,74.0,UConn,False,2016,1
Maryland,5,79.0,South Dakota State,12,74.0,Maryland,True,2016,1
California,4,66.0,Hawaii,13,77.0,Hawaii,False,2016,1
Arizona,6,55.0,Wichita State,11,65.0,Wichita State,False,2016,1
Miami (FL),3,79.0,Buffalo,14,72.0,Miami (FL),True,2016,1
Iowa,7,72.0,Temple,10,70.0,Iowa,True,2016,1
Villanova,2,86.0,UNC Asheville,15,56.0,Villanova,True,2016,1
Virginia,1,81.0,Hampton,16,45.0,Virginia,True,2016,1
Texas Tech,8,61.0,Butler,9,71.0,Butler,False,2016,1
Purdue,5,83.0,Little Rock,12,85.0,Little Rock,False,2016,1
Iowa State,4,94.0,Iona,13,81.0,Iowa State,True,2016,1
Seton Hall,6,52.0,Gonzaga,11,68.0,Gonzaga,False,2016,1
Utah,3,80.0,Fresno State,14,69.0,Utah,True,2016,1
Dayton,7,51.0,Syracuse,10,70.0,Syracuse,False,2016,1
Michigan State,2,81.0,Middle Tennessee,15,90.0,Middle Tennessee,False,2016,1
Oregon,1,69.0,Saint Joseph's,8,64.0,Oregon,True,2016,2
Yale,12,64.0,Duke,4,71.0,Duke,False,2016,2
Northern Iowa,11,88.0,Texas A&M,3,92.0,Texas A&M,False,2016,2
VCU,10,81.0,Oklahoma,2,85.0,Oklahoma,False,2016,2
North Carolina,1,85.0,Providence,9,66.0,North Carolina,True,2016,2
Indiana,5,73.0,Kentucky,4,67.0,Indiana,True,2016,2
Notre Dame,6,76.0,Stephen F. Austin,14,75.0,Notre Dame,True,2016,2
Wisconsin,7,66.0,Xavier,2,63.0,Wisconsin,True,2016,2
Kansas,1,73.0,UConn,9,61.0,Kansas,True,2016,2
Maryland,5,73.0,Hawaii,13,60.0,Maryland,True,2016,2
Wichita State,11,57.0,Miami (FL),3,65.0,Miami (FL),False,2016,2
Iowa,7,68.0,Villanova,2,87.0,Villanova,False,2016,2
Virginia,1,77.0,Butler,9,69.0,Virginia,True,2016,2
Little Rock,12,61.0,Iowa State,4,78.0,Iowa State,False,2016,2
Gonzaga,11,82.0,Utah,3,59.0,Gonzaga,True,2016,2
Syracuse,10,75.0,Middle Tennessee,15,50.0,Syracuse,True,2016,2
Oregon,1,82.0,Duke,4,68.0,Oregon,True,2016,3
Texas A&M,3,63.0,Oklahoma,2,77.0,Oklahoma,False,2016,3
North Carolina,1,101.0,Indiana,5,86.0,North Carolina,True,2016,3
Notre Dame,6,61.0,Wisconsin,7,56.0,Notre Dame,True,2016,3
Kansas,1,79.0,Maryland,5,63.0,Kansas,True,2016,3
Miami (FL),3,69.0,Villanova,2,92.0,Villanova,False,2016,3
Virginia,1,84.0,Iowa State,4,71.0,Virginia,True,2016,3
Gonzaga,11,60.0,Syracuse,10,63.0,Syracuse,False,2016,3
Oregon,1,68.0,Oklahoma,2,80.0,Oklahoma,False,2016,4
North Carolina,1,88.0,Notre Dame,6,74.0,North Carolina,True,2016,4
Kansas,1,59.0,Villanova,2,64.0,Villanova,False,2016,4
Virginia,1,62.0,Syracuse,10,68.0,Syracuse,False,2016,4
Villanova,2,95.0,Oklahoma,2,51.0,Villanova,True,2016,5
North Carolina,1,83.0,Syracuse,10,66.0,North Carolina,True,2016,5
Villanova,2,77.0,North Carolina,1,74.0,Villanova,True,2016,6
Gonzaga,1,66.0,South Dakota State,16,46.0,Gonzaga,True,2017,1
Northwestern,8,68.0,Vanderbilt,9,66.0,Northwestern,True,2017,1
Notre Dame,5,60.0,Princeton,12,58.0,Notre Dame,True,2017,1
West Virginia,4,86.0,Bucknell,13,80.0,West Virginia,True,2017,1
Maryland,6,65.0,Xavier,11,76.0,Xavier,False,2017,1
Florida State,3,86.0,Florida Gulf Coast,14,80.0,Florida State,True,2017,1
Saint Mary's,7,85.0,VCU,10,77.0,Saint Mary's,True,2017,1
Arizona,2,100.0,North Dakota,15,82.0,Arizona,True,2017,1
Villanova,1,76.0,Mount St. Mary's,16,56.0,Villanova,True,2017,1
Wisconsin,8,84.0,Virginia Tech,9,74.0,Wisconsin,True,2017,1
Virginia,5,76.0,UNC Wilmington,12,71.0,Virginia,True,2017,1
Florida,4,80.0,East Tennessee State,13,65.0,Florida,True,2017,1
Southern Methodist,6,65.0,USC,11,66.0,USC,False,2017,1
Baylor,3,91.0,New Mexico State,14,73.0,Baylor,True,2017,1
South Carolina,7,93.0,Marquette,10,73.0,South Carolina,True,2017,1
Duke,2,87.0,Troy,15,65.0,Duke,True,2017,1
North Carolina,1,103.0,Texas Southern,16,64.0,North Carolina,True,2017,1
Arkansas,8,77.0,Seton Hall,9,71.0,Arkansas,True,2017,1
Minnesota,5,72.0,Middle Tennessee,12,81.0,Middle Tennessee,False,2017,1
Butler,4,76.0,Winthrop,13,64.0,Butler,True,2017,1
Cincinnati,6,75.0,Kansas State,11,61.0,Cincinnati,True,2017,1
UCLA,3,97.0,Kent State,14,80.0,UCLA,True,2017,1
Dayton,7,58.0,Wichita State,10,64.0,Wichita State,False,2017,1
Kentucky,2,79.0,Northern Kentucky,15,70.0,Kentucky,True,2017,1
Kansas,1,100.0,UC Davis,16,62.0,Kansas,True,2017,1
Miami (FL),8,58.0,Michigan State,9,78.0,Michigan State,False,2017,1
Iowa State,5,84.0,Nevada,12,73.0,Iowa State,True,2017,1
Purdue,4,80.0,Vermont,13,70.0,Purdue,True,2017,1
Creighton,6,72.0,Rhode Island,11,84.0,Rhode Island,False,2017,1
Oregon,3,93.0,Iona,14,77.0,Oregon,True,2017,1
Michigan,7,92.0,Oklahoma State,10,91.0,Michigan,True,2017,1
Louisville,2,78.0,Jacksonville State,15,63.0,Louisville,True,2017,1
Gonzaga,1,79.0,Northwestern,8,73.0,Gonzaga,True,2017,2
Notre Dame,5,71.0,West Virginia,4,83.0,West Virginia,False,2017,2
Xavier,11,91.0,Florida State,3,66.0,Xavier,True,2017,2
Saint Mary's,7,60.0,Arizona,2,69.0,Arizona,False,2017,2
Villanova,1,62.0,Wisconsin,8,65.0,Wisconsin,False,2017,2
